day,phase,filename,sha256,status
1,before,day-01-before.png,REPLACE,PENDING
1,after,day-01-after.png,REPLACE,PENDING
2,before,day-02-before.png,REPLACE,PENDING
2,after,day-02-after.png,REPLACE,PENDING
3,before,day-03-before.png,REPLACE,PENDING
3,after,day-03-after.png,REPLACE,PENDING
4,before,day-04-before.png,REPLACE,PENDING
4,after,day-04-after.png,REPLACE,PENDING
5,before,day-05-before.png,REPLACE,PENDING
5,after,day-05-after.png,REPLACE,PENDING
6,before,day-06-before.png,REPLACE,PENDING
6,after,day-06-after.png,REPLACE,PENDING
7,before,day-07-before.png,REPLACE,PENDING
7,after,day-07-after.png,REPLACE,PENDING
